PID   USER           GROUP     
1     root           root             
2     root           root             
3     root           root             
4     root           root             
6     root           root             
8     root           root             
9     root           root             
10    root           root             
11    root           root             
12    root           root             
14    root           root             
15    root           root             
16    root           root             
17    root           root             
18    root           root             
19    root           root             
20    root           root             
21    root           root             
22    root           root             
23    root           root             
24    root           root             
70    root           root             
71    root           root             
72    root           root             
73    root           root             
74    root           root             
75    root           root             
76    root           root             
77    root           root             
78    root           root             
80    root           root             
81    root           root             
83    root           root             
84    root           root             
85    root           root             
86    root           root             
87    root           root             
88    root           root             
89    root           root             
91    root           root             
93    root           root             
102   root           root             
105   root           root             
118   root           root             
152   root           root             
198   root           root             
241   root           root             
242   root           root             
277   root           root             
315   root           root             
342   root           root             
358   root           root             
501   root           root             
502   root           root             
503   root           root             
504   root           root             
505   root           root             
515   root           root             
516   root           root             
517   root           root             
523   root           root             
525   root           root             
544   systemd-timesyncsystemd-timesync 
596   systemd-networksystemd-network  
598   systemd-resolvesystemd-resolve  
633   root           root             
636   root           root             
637   messagebus     messagebus       
645   root           root             
646   root           root             
647   root           root             
648   syslog         syslog           
650   root           root             
652   root           root             
654   root           root             
655   root           root             
664   root           root             
665   root           root             
668   root           root             
691   root           root             
697   root           root             
709   root           root             
893   19lvn          sysops           
895   19lvn          sysops           
1042  19lvn          sysops           
1052  19lvn          sysops           
1125  19lvn          sysops           
1160  root           root             
1241  19lvn          sysops           
1242  19lvn          sysops           
1247  19lvn          sysops           
1299  19lvn          sysops           
1310  19lvn          sysops           
1348  19lvn          sysops           
1486  19ajp17        sysops           
1489  19ajp17        sysops           
1609  19ajp17        sysops           
1619  19ajp17        sysops           
1704  19ajp17        sysops           
1732  root           root             
1813  19ajp17        sysops           
1814  19ajp17        sysops           
1867  19ajp17        sysops           
1878  19ajp17        sysops           
1944  19ajp17        sysops           
6350  root           root             
41571 root           root             
65589 root           root             
65622 root           root             
80283 19ajp17        sysops           
86199 root           root             
86218 19ajp17        sysops           
