PID   USER           
1     root           
2     root           
3     root           
4     root           
6     root           
8     root           
9     root           
10    root           
11    root           
12    root           
14    root           
15    root           
16    root           
17    root           
18    root           
19    root           
20    root           
21    root           
22    root           
23    root           
24    root           
70    root           
71    root           
72    root           
73    root           
74    root           
75    root           
76    root           
77    root           
78    root           
80    root           
81    root           
83    root           
84    root           
85    root           
86    root           
87    root           
88    root           
89    root           
91    root           
93    root           
102   root           
105   root           
118   root           
152   root           
198   root           
241   root           
242   root           
277   root           
315   root           
342   root           
358   root           
501   root           
502   root           
503   root           
504   root           
505   root           
515   root           
516   root           
517   root           
523   root           
525   root           
544   systemd-timesync
596   systemd-network
598   systemd-resolve
633   root           
636   root           
637   messagebus     
645   root           
646   root           
647   root           
648   syslog         
650   root           
652   root           
654   root           
655   root           
664   root           
665   root           
668   root           
691   root           
697   root           
709   root           
839   root           
893   19lvn          
895   19lvn          
1042  19lvn          
1052  19lvn          
1125  19lvn          
1160  root           
1241  19lvn          
1242  19lvn          
1247  19lvn          
1299  19lvn          
1310  19lvn          
1348  19lvn          
1486  19ajp17        
1489  19ajp17        
1609  19ajp17        
1619  19ajp17        
1704  19ajp17        
1732  root           
1813  19ajp17        
1814  19ajp17        
1867  19ajp17        
1878  19ajp17        
1944  19ajp17        
6350  root           
22030 root           
22037 root           
40894 root           
40895 root           
41571 root           
43978 19ajp17        
47075 19ajp17        
